source,target,weight
heydaniel_c,lexkbeattie,1
heydaniel_c,dantaber47,1
heydaniel_c,_jessiejsmith_,1
heydaniel_c,hsmcramer,1
heydaniel_c,spotifyresearch,1
heydaniel_c,acmrecsys,2
seguraandres7,lexkbeattie,1
totopampin,hannahauptmann,1
neomoha,eva_zangerle,1
neomoha,acmrecsys,1
claesdevreese,sannevrijenhoek,1
claesdevreese,acmrecsys,1
drehsil,radekosmulski,1
drehsil,nvidia,1
drehsil,acmrecsys,1
manelslokom,laurenfklein,1
karlhigley,le__gab,1
semigoso,radekosmulski,1
semigoso,nvidia,1
semigoso,acmrecsys,1
bobthemaster,radekosmulski,1
bobthemaster,nvidia,1
bobthemaster,acmrecsys,1
adamlaiacano,lexkbeattie,1
adamlaiacano,dantaber47,1
adamlaiacano,_jessiejsmith_,1
adamlaiacano,hsmcramer,1
battle8500,radekosmulski,1
battle8500,nvidia,1
battle8500,acmrecsys,1
alansaid,totopampin,2
alansaid,agelesschronicl,1
alansaid,maxharp3r,3
9ncm9v2r,radekosmulski,1
9ncm9v2r,nvidia,1
9ncm9v2r,acmrecsys,1
leopolisdream,radekosmulski,1
leopolisdream,nvidia,1
leopolisdream,acmrecsys,1
ivir_uva,sannevrijenhoek,1
affige_yang,eva_zangerle,1
affige_yang,acmrecsys,1
charisivicky,eva_zangerle,1
charisivicky,acmrecsys,1
drch0le,eva_zangerle,1
jnnksbrt,eva_zangerle,1
jnnksbrt,acmrecsys,1
timgollins,craig_macdonald,1
timgollins,ir_glasgow,1
timgollins,acmrecsys,1
timgollins,yashonwu,1
timgollins,mvlacho1,1
timgollins,javiersanzcruza,1
totopampin,agelesschronicl,2
totopampin,alansaid,4
denadai2,acmrecsys,1
__alucic,le__gab,1
maartjeterhoeve,le__gab,2
maartjeterhoeve,acmrecsys,1
taoyeah,drch0le,4
taoyeah,hannahauptmann,4
taoyeah,j_neidhardt,3
taoyeah,christine_bauer,3
judith_moeller,sannevrijenhoek,2
judith_moeller,acmrecsys,1
agelesschronicl,maxharp3r,1
agelesschronicl,totopampin,1
agelesschronicl,alansaid,1
adityaponnada,lexkbeattie,1
adityaponnada,dantaber47,1
adityaponnada,_jessiejsmith_,1
adityaponnada,hsmcramer,1
dmsouza7,gspmoreira,1
dmsouza7,acmrecsys,1
followml_,gombru,1
followml_,acmrecsys,1
shapedai,visa,1
fabiouechi,gspmoreira,1
fabiouechi,acmrecsys,1
erishabh,le__gab,1
ayblaq,seguraandres7,1
ayblaq,acmrecsys,1
sannevrijenhoek,aliossandro,2
sannevrijenhoek,acmrecsys,2
srutanikb,seguraandres7,1
srutanikb,acmrecsys,1
maxharp3r,totopampin,1
